approach,dataname,TP,FN,TN,FP,pd,prec,f1,accuracy
Mahala,Ambari,1,9,480,10,0.1,0.09,0.1,0.96
Mahala,Camel,14,32,452,2,0.3,0.88,0.45,0.93
Mahala,Derby,9,54,434,3,0.14,0.75,0.24,0.89
Mahala,Wicket,1,8,491,0,0.11,1.0,0.2,0.98
Mahala,Chromium,1,120,20849,0,0.01,1.0,0.02,0.99
