approach,dataname,TP,FN,TN,FP,pd,prec,f1,accuracy
NM,Ambari,4,6,367,123,0.4,0.03,0.06,0.74
NM,Camel,32,14,137,317,0.7,0.09,0.16,0.34
NM,Derby,42,21,255,182,0.67,0.19,0.29,0.59
NM,Wicket,2,7,469,22,0.22,0.08,0.12,0.94
NM,Chromium,105,16,5596,15253,0.87,0.01,0.01,0.27
