approach,dataname,TP,FN,TN,FP,pd,prec,f1,accuracy
NM,Ambari,4,6,369,121,0.4,0.03,0.06,0.75
NM,Camel,33,13,157,297,0.72,0.1,0.18,0.38
NM,Derby,40,23,225,212,0.63,0.16,0.25,0.53
NM,Wicket,2,7,471,20,0.22,0.09,0.13,0.95
NM,Chromium,97,24,6727,14122,0.8,0.01,0.01,0.33
NM,OpenStack,64,9,11998,29432,0.88,0.0,0.0,0.29
