approach,dataname,TP,FN,TN,FP,pd,prec,f1,accuracy
Base,Ambari,2,8,482,8,0.2,0.2,0.2,0.97
Base,Camel,16,30,453,1,0.35,0.94,0.51,0.94
Base,Derby,10,53,430,7,0.16,0.59,0.25,0.88
Base,Wicket,2,7,490,1,0.22,0.67,0.33,0.98
Base,Chromium,8,113,20834,15,0.07,0.35,0.11,0.99
Base,OpenStack,47,26,41402,28,0.64,0.63,0.64,1.0
