approach,dataname,TP,FN,TN,FP,pd,prec,f1,accuracy
CNN,Ambari,2,8,470,20,0.2,0.09,0.13,0.94
CNN,Camel,18,28,445,9,0.39,0.67,0.49,0.93
CNN,Derby,18,45,416,21,0.29,0.46,0.35,0.87
CNN,Wicket,1,8,482,9,0.11,0.1,0.11,0.97
CNN,Chromium,27,94,20808,41,0.22,0.4,0.29,0.99
