dataname,approach,pd,prec,f1,accuracy,AUC
Chromium,Rose,0.74,0.35,0.48,0.96,0
Chromium,Rose,0.74,0.35,0.48,0.96,0
Chromium,Rose,0.74,0.35,0.48,0.96,0
Chromium,Rose,0.74,0.35,0.48,0.96,0
Chromium,Rose,0.74,0.35,0.48,0.96,0
Chromium,Rose,0.74,0.35,0.48,0.96,0
Chromium,Rose,0.74,0.35,0.48,0.96,0
Chromium,Rose,0.74,0.35,0.48,0.96,0
Chromium,Rose,0.74,0.35,0.48,0.96,0
Chromium,Rose,0.74,0.35,0.48,0.96,0
