dataname,approach,pd,prec,f1,accuracy,AUC
Derby,Rose,0.48,0.23,0.31,0.73,0
Derby,Rose,0.48,0.23,0.31,0.73,0
Derby,Rose,0.48,0.23,0.31,0.73,0
Derby,Rose,0.48,0.23,0.31,0.73,0
Derby,Rose,0.48,0.23,0.31,0.73,0
Derby,Rose,0.48,0.23,0.31,0.73,0
Derby,Rose,0.48,0.23,0.31,0.73,0
Derby,Rose,0.48,0.23,0.31,0.73,0
Derby,Rose,0.48,0.23,0.31,0.73,0
Derby,Rose,0.48,0.23,0.31,0.73,0
