dataname,approach,pd,prec,f1,accuracy,AUC
Chromium,Rose,0.73,0.64,0.68,0.98,0
Chromium,Rose,0.73,0.65,0.69,0.98,0
Chromium,Rose,0.73,0.65,0.68,0.98,0
Chromium,Rose,0.74,0.68,0.71,0.99,0
Chromium,Rose,0.74,0.65,0.69,0.98,0
Chromium,Rose,0.75,0.7,0.72,0.99,0
Chromium,Rose,0.73,0.72,0.72,0.99,0
Chromium,Rose,0.74,0.73,0.73,0.99,0
Chromium,Rose,0.74,0.6,0.67,0.98,0
Chromium,Rose,0.72,0.64,0.68,0.98,0
