dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Derby,LR,11,31,448,10,0.26,0.52,0.35,0.92
Derby,NB,15,27,423,35,0.36,0.3,0.33,0.88
Derby,MLP,11,31,452,6,0.26,0.65,0.37,0.93
Derby,SVM,15,27,450,8,0.36,0.65,0.46,0.93
Derby,RF,11,31,452,6,0.26,0.65,0.37,0.93
