dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Ambari,LR,1,6,484,9,0.14,0.1,0.12,0.97
Ambari,NB,1,6,477,16,0.14,0.06,0.08,0.96
Ambari,MLP,1,6,485,8,0.14,0.11,0.12,0.97
Ambari,SVM,1,6,484,9,0.14,0.1,0.12,0.97
Ambari,RF,1,6,488,5,0.14,0.17,0.15,0.98
