dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Ambari,LR,2,8,475,15,0.2,0.12,0.15,0.95
Ambari,NB,2,8,433,57,0.2,0.03,0.06,0.87
Ambari,MLP,2,8,458,32,0.2,0.06,0.09,0.92
Ambari,SVM,1,9,471,19,0.1,0.05,0.07,0.94
Ambari,RF,1,9,475,15,0.1,0.06,0.08,0.95
