dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Derby,LR,22,41,398,39,0.35,0.36,0.35,0.84
Derby,NB,19,44,386,51,0.3,0.27,0.29,0.81
Derby,MLP,18,45,403,34,0.29,0.35,0.31,0.84
Derby,SVM,23,40,398,39,0.37,0.37,0.37,0.84
Derby,RF,18,45,384,53,0.29,0.25,0.27,0.8
