dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Derby,LR,12,51,420,17,0.19,0.41,0.26,0.86
Derby,NB,18,45,409,28,0.29,0.39,0.33,0.85
Derby,MLP,12,51,430,7,0.19,0.63,0.29,0.88
Derby,SVM,13,50,415,22,0.21,0.37,0.27,0.86
Derby,RF,12,51,431,6,0.19,0.67,0.3,0.89
