dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Ambari,LR,5,5,364,126,0.5,0.04,0.07,0.74
Ambari,NB,2,8,456,34,0.2,0.06,0.09,0.92
Ambari,MLP,4,6,373,117,0.4,0.03,0.06,0.75
Ambari,SVM,4,6,364,126,0.4,0.03,0.06,0.74
Ambari,RF,2,8,380,110,0.2,0.02,0.03,0.76
