dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Wicket,LR,1,8,481,10,0.11,0.09,0.1,0.96
Wicket,NB,1,8,404,87,0.11,0.01,0.02,0.81
Wicket,MLP,1,8,482,9,0.11,0.1,0.11,0.97
Wicket,SVM,1,8,481,10,0.11,0.09,0.1,0.96
Wicket,RF,2,7,485,6,0.22,0.25,0.24,0.97
