dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Camel,LR,14,32,426,28,0.3,0.33,0.32,0.88
Camel,NB,15,31,395,59,0.33,0.2,0.25,0.82
Camel,MLP,7,39,428,26,0.15,0.21,0.18,0.87
Camel,SVM,15,31,427,27,0.33,0.36,0.34,0.88
Camel,RF,14,32,434,20,0.3,0.41,0.35,0.9
