dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Derby,LR,41,22,227,210,0.65,0.16,0.26,0.54
Derby,NB,42,21,197,240,0.67,0.15,0.24,0.48
Derby,MLP,44,19,278,159,0.7,0.22,0.33,0.64
Derby,SVM,32,31,267,170,0.51,0.16,0.24,0.6
Derby,RF,43,20,222,215,0.68,0.17,0.27,0.53
