dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Wicket,LR,1,8,484,7,0.11,0.12,0.12,0.97
Wicket,NB,2,7,438,53,0.22,0.04,0.06,0.88
Wicket,MLP,1,8,487,4,0.11,0.2,0.14,0.98
Wicket,SVM,1,8,483,8,0.11,0.11,0.11,0.97
Wicket,RF,1,8,488,3,0.11,0.25,0.15,0.98
