dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Wicket,LR,2,7,478,13,0.22,0.13,0.17,0.96
Wicket,NB,2,7,434,57,0.22,0.03,0.06,0.87
Wicket,MLP,1,8,483,8,0.11,0.11,0.11,0.97
Wicket,SVM,2,7,484,7,0.22,0.22,0.22,0.97
Wicket,RF,2,7,486,5,0.22,0.29,0.25,0.98
