dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Wicket,LR,3,6,432,59,0.33,0.05,0.08,0.87
Wicket,NB,4,5,267,224,0.44,0.02,0.03,0.54
Wicket,MLP,3,6,419,72,0.33,0.04,0.07,0.84
Wicket,SVM,4,5,440,51,0.44,0.07,0.12,0.89
Wicket,RF,2,7,426,65,0.22,0.03,0.05,0.86
