dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Derby,LR,19,44,403,34,0.3,0.36,0.33,0.84
Derby,NB,14,49,381,56,0.22,0.2,0.21,0.79
Derby,MLP,15,48,404,33,0.24,0.31,0.27,0.84
Derby,SVM,21,42,406,31,0.33,0.4,0.37,0.85
Derby,RF,13,50,408,29,0.21,0.31,0.25,0.84
