dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Derby,LR,15,48,411,26,0.24,0.37,0.29,0.85
Derby,NB,27,36,316,121,0.43,0.18,0.26,0.69
Derby,MLP,16,47,417,20,0.25,0.44,0.32,0.87
Derby,SVM,20,43,406,31,0.32,0.39,0.35,0.85
Derby,RF,13,50,419,18,0.21,0.42,0.28,0.86
