dataname,clf,TP,FN,TN,FP,pd,prec,f1,accuracy
Wicket,LR,1,8,490,1,0.11,0.5,0.18,0.98
Wicket,NB,1,8,481,10,0.11,0.09,0.1,0.96
Wicket,MLP,1,8,491,0,0.11,1.0,0.2,0.98
Wicket,SVM,2,7,488,3,0.22,0.4,0.29,0.98
Wicket,RF,2,7,490,1,0.22,0.67,0.33,0.98
